YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DEPARTURE_DELAY_INDEX,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,ARRIVAL_DELAY_INDEX,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,DL,978,N693DL,SAN,SLC,615,611,-4,1,20,631,121,115,89,626,900,6,916,906,-10,1,0,0,,,,,,
2015,1,1,4,OO,5608,N930SW,SAN,LAX,615,614,-1,1,16,630,52,48,25,109,655,7,707,702,-5,1,0,0,,,,,,
2015,1,1,4,WN,823,N7707C,SAN,BWI,620,620,0,1,18,638,295,272,248,2295,1346,6,1415,1352,-23,1,0,0,,,,,,
2015,1,1,4,WN,603,N461WN,SAN,MDW,620,617,-3,1,17,634,250,224,200,1728,1154,7,1230,1201,-29,1,0,0,,,,,,
2015,1,1,4,UA,1192,N69804,SAN,DEN,620,618,-2,1,18,636,145,138,110,853,926,10,945,936,-9,1,0,0,,,,,,
2015,1,1,4,UA,1568,N24212,SAN,EWR,620,615,-5,1,18,633,320,283,253,2425,1346,12,1440,1358,-42,1,0,0,,,,,,
2015,1,1,4,AA,1390,N496AA,SAN,DFW,620,612,-8,1,27,639,185,169,138,1171,1057,4,1125,1101,-24,1,0,0,,,,,,
2015,1,1,4,DL,1592,N723TW,SAN,ATL,629,628,-1,1,16,644,241,223,202,1892,1306,5,1330,1311,-19,1,0,0,,,,,,
2015,1,1,4,US,567,N524UW,SAN,PHX,630,623,-7,1,17,640,83,97,48,304,828,32,853,900,7,0,0,0,,,,,,
2015,1,1,4,AS,499,N551AS,SAN,SEA,630,627,-3,1,16,643,180,174,145,1050,908,13,930,921,-9,1,0,0,,,,,,
2015,1,1,4,AS,573,N467AS,SAN,PDX,630,624,-6,1,17,641,160,158,136,933,857,5,910,902,-8,1,0,0,,,,,,
2015,1,1,4,OO,2604,N693BR,SAN,LAX,630,620,-10,1,17,637,55,49,25,109,702,7,725,709,-16,1,0,0,,,,,,
2015,1,1,4,DL,1864,N360NW,SAN,MSP,635,632,-3,1,17,649,224,217,190,1532,1159,10,1219,1209,-10,1,0,0,,,,,,
2015,1,1,4,DL,246,N391DA,SAN,JFK,645,642,-3,1,15,657,314,286,264,2446,1421,7,1459,1428,-31,1,0,0,,,,,,
2015,1,1,4,UA,1510,N37255,SAN,IAH,653,655,2,0,14,709,188,176,151,1303,1140,11,1201,1151,-10,1,0,0,,,,,,
2015,1,1,4,AS,847,N558AS,SAN,OGG,700,656,-4,1,19,715,357,385,362,2541,1117,4,1057,1121,24,0,0,0,,24,0,0,0,0
2015,1,1,4,OO,3479,N218AG,SAN,SLC,700,721,21,0,17,738,110,119,93,626,1011,9,950,1020,30,0,0,0,,9,0,21,0,0
2015,1,1,4,AA,70,N5BTAA,SAN,DFW,705,659,-6,1,22,721,180,171,137,1171,1138,12,1205,1150,-15,1,0,0,,,,,,
2015,1,1,4,DL,2109,N550NW,SAN,DTW,705,703,-2,1,13,716,259,233,214,1956,1350,6,1424,1356,-28,1,0,0,,,,,,
2015,1,1,4,WN,435,N714CB,SAN,DAL,710,709,-1,1,14,723,170,164,145,1182,1148,5,1200,1153,-7,1,0,0,,,,,,
